orgao_orcamentario,ano,dotacoes,valores
Agência Nacional de Energia Elétrica,2020,projeto_de_lei,1.51
Agência Nacional de Energia Elétrica,2020,dotacao_inicial,1.5
Agência Nacional de Energia Elétrica,2020,dotacao_atual,2.62
Agência Nacional de Energia Elétrica,2020,empenhado,2.37
Agência Nacional de Energia Elétrica,2020,liquidado,2.19
Agência Nacional de Energia Elétrica,2020,pago,2.17
Agência Nacional de Energia Elétrica,2021,projeto_de_lei,1.59
Agência Nacional de Energia Elétrica,2021,dotacao_inicial,1.61
Agência Nacional de Energia Elétrica,2021,dotacao_atual,1.75
Agência Nacional de Energia Elétrica,2021,empenhado,1.52
Agência Nacional de Energia Elétrica,2021,liquidado,1.3800000000000001
Agência Nacional de Energia Elétrica,2021,pago,1.37
Agência Nacional de Energia Elétrica,2022,projeto_de_lei,2.09
Agência Nacional de Energia Elétrica,2022,dotacao_inicial,2.09
Agência Nacional de Energia Elétrica,2022,dotacao_atual,2.35
Agência Nacional de Energia Elétrica,2022,empenhado,1.9700000000000002
Agência Nacional de Energia Elétrica,2022,liquidado,1.8
Agência Nacional de Energia Elétrica,2022,pago,1.78
Agência Nacional de Mineração,2018,projeto_de_lei,0.98
Agência Nacional de Mineração,2018,dotacao_inicial,0.98
Agência Nacional de Mineração,2018,dotacao_atual,0.9
Agência Nacional de Mineração,2018,empenhado,0.33
Agência Nacional de Mineração,2018,liquidado,0.31
Agência Nacional de Mineração,2018,pago,0.3
Agência Nacional de Mineração,2019,projeto_de_lei,0.62
Agência Nacional de Mineração,2019,dotacao_inicial,0.62
Agência Nacional de Mineração,2019,dotacao_atual,0.62
Agência Nacional de Mineração,2019,empenhado,0.35
Agência Nacional de Mineração,2019,liquidado,0.33
Agência Nacional de Mineração,2019,pago,0.31
Agência Nacional de Mineração,2020,projeto_de_lei,0.56
Agência Nacional de Mineração,2020,dotacao_inicial,0.56
Agência Nacional de Mineração,2020,dotacao_atual,0.61
Agência Nacional de Mineração,2020,empenhado,0.36
Agência Nacional de Mineração,2020,liquidado,0.32
Agência Nacional de Mineração,2020,pago,0.31
Agência Nacional de Mineração,2021,projeto_de_lei,0.53
Agência Nacional de Mineração,2021,dotacao_inicial,0.54
Agência Nacional de Mineração,2021,dotacao_atual,0.6599999999999999
Agência Nacional de Mineração,2021,empenhado,0.34
Agência Nacional de Mineração,2021,liquidado,0.31
Agência Nacional de Mineração,2021,pago,0.30000000000000004
Agência Nacional de Mineração,2022,projeto_de_lei,1.13
Agência Nacional de Mineração,2022,dotacao_inicial,1.13
Agência Nacional de Mineração,2022,dotacao_atual,1.13
Agência Nacional de Mineração,2022,empenhado,0.36000000000000004
Agência Nacional de Mineração,2022,liquidado,0.34
Agência Nacional de Mineração,2022,pago,0.31
Agência Nacional de Saúde Suplementar,2018,projeto_de_lei,0.38
Agência Nacional de Saúde Suplementar,2018,dotacao_inicial,0.38
Agência Nacional de Saúde Suplementar,2018,dotacao_atual,0.38
Agência Nacional de Saúde Suplementar,2018,empenhado,0.31
Agência Nacional de Saúde Suplementar,2018,liquidado,0.29000000000000004
Agência Nacional de Saúde Suplementar,2018,pago,0.27
Agência Nacional de Saúde Suplementar,2019,projeto_de_lei,0.5900000000000001
Agência Nacional de Saúde Suplementar,2019,dotacao_inicial,0.5900000000000001
Agência Nacional de Saúde Suplementar,2019,dotacao_atual,0.5900000000000001
Agência Nacional de Saúde Suplementar,2019,empenhado,0.33
Agência Nacional de Saúde Suplementar,2019,liquidado,0.31000000000000005
Agência Nacional de Saúde Suplementar,2019,pago,0.29000000000000004
Agência Nacional de Saúde Suplementar,2020,projeto_de_lei,0.55
Agência Nacional de Saúde Suplementar,2020,dotacao_inicial,0.56
Agência Nacional de Saúde Suplementar,2020,dotacao_atual,0.62
Agência Nacional de Saúde Suplementar,2020,empenhado,0.33999999999999997
Agência Nacional de Saúde Suplementar,2020,liquidado,0.33
Agência Nacional de Saúde Suplementar,2020,pago,0.32
Agência Nacional de Saúde Suplementar,2021,projeto_de_lei,0.63
Agência Nacional de Saúde Suplementar,2021,dotacao_inicial,0.64
Agência Nacional de Saúde Suplementar,2021,dotacao_atual,0.63
Agência Nacional de Saúde Suplementar,2021,empenhado,0.33
Agência Nacional de Saúde Suplementar,2021,liquidado,0.32
Agência Nacional de Saúde Suplementar,2021,pago,0.31
Agência Nacional de Saúde Suplementar,2022,projeto_de_lei,0.47
Agência Nacional de Saúde Suplementar,2022,dotacao_inicial,0.47
Agência Nacional de Saúde Suplementar,2022,dotacao_atual,0.35
Agência Nacional de Saúde Suplementar,2022,empenhado,0.30000000000000004
Agência Nacional de Saúde Suplementar,2022,liquidado,0.28
Agência Nacional de Saúde Suplementar,2022,pago,0.27
Agência Nacional de Telecomunicações,2021,projeto_de_lei,0.61
Agência Nacional de Telecomunicações,2021,dotacao_inicial,0.61
Agência Nacional de Telecomunicações,2021,dotacao_atual,0.5700000000000001
Agência Nacional de Telecomunicações,2021,empenhado,0.55
Agência Nacional de Telecomunicações,2021,liquidado,0.49
Agência Nacional de Telecomunicações,2021,pago,0.46
Agência Nacional de Telecomunicações,2022,projeto_de_lei,0.62
Agência Nacional de Telecomunicações,2022,dotacao_inicial,0.62
Agência Nacional de Telecomunicações,2022,dotacao_atual,0.63
Agência Nacional de Telecomunicações,2022,empenhado,0.5700000000000001
Agência Nacional de Telecomunicações,2022,liquidado,0.51
Agência Nacional de Telecomunicações,2022,pago,0.49
Agência Nacional de Transportes Aquaviários,2018,projeto_de_lei,0.17
Agência Nacional de Transportes Aquaviários,2018,dotacao_inicial,0.18000000000000002
Agência Nacional de Transportes Aquaviários,2018,dotacao_atual,0.17
Agência Nacional de Transportes Aquaviários,2018,empenhado,0.16
Agência Nacional de Transportes Aquaviários,2018,liquidado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2018,pago,0.14
Agência Nacional de Transportes Aquaviários,2019,projeto_de_lei,0.17
Agência Nacional de Transportes Aquaviários,2019,dotacao_inicial,0.17
Agência Nacional de Transportes Aquaviários,2019,dotacao_atual,0.17
Agência Nacional de Transportes Aquaviários,2019,empenhado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2019,liquidado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2019,pago,0.14
Agência Nacional de Transportes Aquaviários,2020,projeto_de_lei,0.29000000000000004
Agência Nacional de Transportes Aquaviários,2020,dotacao_inicial,0.28
Agência Nacional de Transportes Aquaviários,2020,dotacao_atual,0.29
Agência Nacional de Transportes Aquaviários,2020,empenhado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2020,liquidado,0.14
Agência Nacional de Transportes Aquaviários,2020,pago,0.13
Agência Nacional de Transportes Aquaviários,2021,projeto_de_lei,0.18
Agência Nacional de Transportes Aquaviários,2021,dotacao_inicial,0.18
Agência Nacional de Transportes Aquaviários,2021,dotacao_atual,0.19
Agência Nacional de Transportes Aquaviários,2021,empenhado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2021,liquidado,0.14
Agência Nacional de Transportes Aquaviários,2021,pago,0.13
Agência Nacional de Transportes Aquaviários,2022,projeto_de_lei,0.21
Agência Nacional de Transportes Aquaviários,2022,dotacao_inicial,0.22
Agência Nacional de Transportes Aquaviários,2022,dotacao_atual,0.23
Agência Nacional de Transportes Aquaviários,2022,empenhado,0.15000000000000002
Agência Nacional de Transportes Aquaviários,2022,liquidado,0.14
Agência Nacional de Transportes Aquaviários,2022,pago,0.14
Agência Nacional de Transportes Terrestres,2018,projeto_de_lei,0.9199999999999999
Agência Nacional de Transportes Terrestres,2018,dotacao_inicial,0.9199999999999999
Agência Nacional de Transportes Terrestres,2018,dotacao_atual,0.8300000000000001
Agência Nacional de Transportes Terrestres,2018,empenhado,0.65
Agência Nacional de Transportes Terrestres,2018,liquidado,0.51
Agência Nacional de Transportes Terrestres,2018,pago,0.47000000000000003
Agência Nacional de Transportes Terrestres,2019,projeto_de_lei,0.6900000000000001
Agência Nacional de Transportes Terrestres,2019,dotacao_inicial,0.6900000000000001
Agência Nacional de Transportes Terrestres,2019,dotacao_atual,0.64
Agência Nacional de Transportes Terrestres,2019,empenhado,0.59
Agência Nacional de Transportes Terrestres,2019,liquidado,0.51
Agência Nacional de Transportes Terrestres,2019,pago,0.49
Agência Nacional de Transportes Terrestres,2020,projeto_de_lei,0.83
Agência Nacional de Transportes Terrestres,2020,dotacao_inicial,0.82
Agência Nacional de Transportes Terrestres,2020,dotacao_atual,0.82
Agência Nacional de Transportes Terrestres,2020,empenhado,0.5800000000000001
Agência Nacional de Transportes Terrestres,2020,liquidado,0.51
Agência Nacional de Transportes Terrestres,2020,pago,0.5
Agência Nacional de Transportes Terrestres,2021,projeto_de_lei,1.19
Agência Nacional de Transportes Terrestres,2021,dotacao_inicial,1.16
Agência Nacional de Transportes Terrestres,2021,dotacao_atual,1.15
Agência Nacional de Transportes Terrestres,2021,empenhado,0.53
Agência Nacional de Transportes Terrestres,2021,liquidado,0.48000000000000004
Agência Nacional de Transportes Terrestres,2021,pago,0.46
Agência Nacional de Transportes Terrestres,2022,projeto_de_lei,0.89
Agência Nacional de Transportes Terrestres,2022,dotacao_inicial,0.9099999999999999
Agência Nacional de Transportes Terrestres,2022,dotacao_atual,0.9099999999999999
Agência Nacional de Transportes Terrestres,2022,empenhado,0.54
Agência Nacional de Transportes Terrestres,2022,liquidado,0.46
Agência Nacional de Transportes Terrestres,2022,pago,0.44
Agência Nacional de Vigilância Sanitária,2018,projeto_de_lei,0.86
Agência Nacional de Vigilância Sanitária,2018,dotacao_inicial,0.86
Agência Nacional de Vigilância Sanitária,2018,dotacao_atual,0.84
Agência Nacional de Vigilância Sanitária,2018,empenhado,0.8
Agência Nacional de Vigilância Sanitária,2018,liquidado,0.75
Agência Nacional de Vigilância Sanitária,2018,pago,0.71
Agência Nacional de Vigilância Sanitária,2019,projeto_de_lei,0.86
Agência Nacional de Vigilância Sanitária,2019,dotacao_inicial,0.86
Agência Nacional de Vigilância Sanitária,2019,dotacao_atual,0.81
Agência Nacional de Vigilância Sanitária,2019,empenhado,0.77
Agência Nacional de Vigilância Sanitária,2019,liquidado,0.73
Agência Nacional de Vigilância Sanitária,2019,pago,0.6900000000000001
Agência Nacional de Vigilância Sanitária,2020,projeto_de_lei,0.8099999999999999
Agência Nacional de Vigilância Sanitária,2020,dotacao_inicial,0.77
Agência Nacional de Vigilância Sanitária,2020,dotacao_atual,0.77
Agência Nacional de Vigilância Sanitária,2020,empenhado,0.7300000000000001
Agência Nacional de Vigilância Sanitária,2020,liquidado,0.7000000000000001
Agência Nacional de Vigilância Sanitária,2020,pago,0.66
Agência Nacional de Vigilância Sanitária,2021,projeto_de_lei,0.9400000000000001
Agência Nacional de Vigilância Sanitária,2021,dotacao_inicial,0.9400000000000001
Agência Nacional de Vigilância Sanitária,2021,dotacao_atual,0.9299999999999999
Agência Nacional de Vigilância Sanitária,2021,empenhado,0.74
Agência Nacional de Vigilância Sanitária,2021,liquidado,0.71
Agência Nacional de Vigilância Sanitária,2021,pago,0.67
Agência Nacional de Vigilância Sanitária,2022,projeto_de_lei,0.8200000000000001
Agência Nacional de Vigilância Sanitária,2022,dotacao_inicial,0.8200000000000001
Agência Nacional de Vigilância Sanitária,2022,dotacao_atual,0.8
Agência Nacional de Vigilância Sanitária,2022,empenhado,0.75
Agência Nacional de Vigilância Sanitária,2022,liquidado,0.72
Agência Nacional de Vigilância Sanitária,2022,pago,0.6900000000000001
Agência Nacional do Cinema,2018,projeto_de_lei,0.15
Agência Nacional do Cinema,2018,dotacao_inicial,0.14
Agência Nacional do Cinema,2018,dotacao_atual,0.15
Agência Nacional do Cinema,2018,empenhado,0.14
Agência Nacional do Cinema,2018,liquidado,0.13
Agência Nacional do Cinema,2018,pago,0.12
Agência Nacional do Cinema,2019,projeto_de_lei,0
Agência Nacional do Cinema,2019,dotacao_inicial,0.15
Agência Nacional do Cinema,2019,dotacao_atual,0
Agência Nacional do Cinema,2019,empenhado,0
Agência Nacional do Cinema,2019,liquidado,0
Agência Nacional do Cinema,2019,pago,0
Agência Nacional do Cinema,2020,projeto_de_lei,0
Agência Nacional do Cinema,2020,dotacao_inicial,0
Agência Nacional do Cinema,2020,dotacao_atual,0.09
Agência Nacional do Cinema,2020,empenhado,0.07
Agência Nacional do Cinema,2020,liquidado,0.07
Agência Nacional do Cinema,2020,pago,0.06
Agência Nacional do Cinema,2021,projeto_de_lei,0.06
Agência Nacional do Cinema,2021,dotacao_inicial,0.05
Agência Nacional do Cinema,2021,dotacao_atual,0.13
Agência Nacional do Cinema,2021,empenhado,0.12
Agência Nacional do Cinema,2021,liquidado,0.12
Agência Nacional do Cinema,2021,pago,0.11
Agência Nacional do Cinema,2022,projeto_de_lei,0.14
Agência Nacional do Cinema,2022,dotacao_inicial,0.14
Agência Nacional do Cinema,2022,dotacao_atual,0.13
Agência Nacional do Cinema,2022,empenhado,0.12
Agência Nacional do Cinema,2022,liquidado,0.12
Agência Nacional do Cinema,2022,pago,0.11
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,projeto_de_lei,1.97
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,dotacao_inicial,1.96
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,dotacao_atual,11.43
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,empenhado,9.91
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,liquidado,5.180000000000001
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2018,pago,5.17
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,projeto_de_lei,2.3200000000000003
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,dotacao_inicial,2.3200000000000003
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,dotacao_atual,2.33
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,empenhado,0.42000000000000004
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,liquidado,0.37
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2019,pago,0.36000000000000004
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,projeto_de_lei,1.75
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,dotacao_inicial,1.74
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,dotacao_atual,1.79
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,empenhado,0.43
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,liquidado,0.38
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2020,pago,0.36000000000000004
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,projeto_de_lei,1.04
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,dotacao_inicial,1.05
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,dotacao_atual,1.08
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,empenhado,0.4
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,liquidado,0.37
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2021,pago,0.36000000000000004
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,projeto_de_lei,1.98
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,dotacao_inicial,2
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,dotacao_atual,2.0100000000000002
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,empenhado,0.41000000000000003
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,liquidado,0.38
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",2022,pago,0.36000000000000004
Banco Central do Brasil,2022,projeto_de_lei,3.98
Banco Central do Brasil,2022,dotacao_inicial,3.95
Banco Central do Brasil,2022,dotacao_atual,3.9299999999999997
Banco Central do Brasil,2022,empenhado,3.89
Banco Central do Brasil,2022,liquidado,3.86
Banco Central do Brasil,2022,pago,3.59
Banco Central do Brasil,2023,projeto_de_lei,3.92
Banco Central do Brasil,2023,dotacao_inicial,3.92
Banco Central do Brasil,2023,dotacao_atual,3.9000000000000004
Banco Central do Brasil,2023,empenhado,0.88
Banco Central do Brasil,2023,liquidado,0.59
Banco Central do Brasil,2023,pago,0.59
Camara dos Deputados,2018,projeto_de_lei,6.13
Camara dos Deputados,2018,dotacao_inicial,6.13
Camara dos Deputados,2018,dotacao_atual,5.92
Camara dos Deputados,2018,empenhado,5.55
Camara dos Deputados,2018,liquidado,5.46
Camara dos Deputados,2018,pago,5.45
Camara dos Deputados,2019,projeto_de_lei,6.31
Camara dos Deputados,2019,dotacao_inicial,6.31
Camara dos Deputados,2019,dotacao_atual,6.31
Camara dos Deputados,2019,empenhado,5.88
Camara dos Deputados,2019,liquidado,5.79
Camara dos Deputados,2019,pago,5.79
Camara dos Deputados,2020,projeto_de_lei,6.25
Camara dos Deputados,2020,dotacao_inicial,6.26
Camara dos Deputados,2020,dotacao_atual,6.17
Camara dos Deputados,2020,empenhado,5.8
Camara dos Deputados,2020,liquidado,5.6899999999999995
Camara dos Deputados,2020,pago,5.6899999999999995
Camara dos Deputados,2021,projeto_de_lei,6.46
Camara dos Deputados,2021,dotacao_inicial,6.46
Camara dos Deputados,2021,dotacao_atual,6.46
Camara dos Deputados,2021,empenhado,5.84
Camara dos Deputados,2021,liquidado,5.71
Camara dos Deputados,2021,pago,5.71
Camara dos Deputados,2022,projeto_de_lei,6.970000000000001
Camara dos Deputados,2022,dotacao_inicial,6.96
Camara dos Deputados,2022,dotacao_atual,6.970000000000001
Camara dos Deputados,2022,empenhado,5.989999999999999
Camara dos Deputados,2022,liquidado,5.76
Camara dos Deputados,2022,pago,5.75
Camara dos Deputados,2023,projeto_de_lei,7.78
Camara dos Deputados,2023,dotacao_inicial,7.78
Camara dos Deputados,2023,dotacao_atual,7.78
Camara dos Deputados,2023,empenhado,6.89
Camara dos Deputados,2023,liquidado,1.47
Camara dos Deputados,2023,pago,1.45
Conselho Administrativo de Defesa Econômica,2018,projeto_de_lei,0.04
Conselho Administrativo de Defesa Econômica,2018,dotacao_inicial,0.060000000000000005
Conselho Administrativo de Defesa Econômica,2018,dotacao_atual,0.06999999999999999
Conselho Administrativo de Defesa Econômica,2018,empenhado,0.06
Conselho Administrativo de Defesa Econômica,2018,liquidado,0.04
Conselho Administrativo de Defesa Econômica,2018,pago,0.04
Conselho Administrativo de Defesa Econômica,2019,projeto_de_lei,0.06
Conselho Administrativo de Defesa Econômica,2019,dotacao_inicial,0.05
Conselho Administrativo de Defesa Econômica,2019,dotacao_atual,0.06
Conselho Administrativo de Defesa Econômica,2019,empenhado,0.05
Conselho Administrativo de Defesa Econômica,2019,liquidado,0.04
Conselho Administrativo de Defesa Econômica,2019,pago,0.03
Conselho Administrativo de Defesa Econômica,2020,projeto_de_lei,0.05
Conselho Administrativo de Defesa Econômica,2020,dotacao_inicial,0.05
Conselho Administrativo de Defesa Econômica,2020,dotacao_atual,0.06
Conselho Administrativo de Defesa Econômica,2020,empenhado,0.06
Conselho Administrativo de Defesa Econômica,2020,liquidado,0.05
Conselho Administrativo de Defesa Econômica,2020,pago,0.05
Conselho Administrativo de Defesa Econômica,2021,projeto_de_lei,0.05
Conselho Administrativo de Defesa Econômica,2021,dotacao_inicial,0.04
Conselho Administrativo de Defesa Econômica,2021,dotacao_atual,0.05
Conselho Administrativo de Defesa Econômica,2021,empenhado,0.05
Conselho Administrativo de Defesa Econômica,2021,liquidado,0.04
Conselho Administrativo de Defesa Econômica,2021,pago,0.04
Conselho Administrativo de Defesa Econômica,2022,projeto_de_lei,0.06
Conselho Administrativo de Defesa Econômica,2022,dotacao_inicial,0.06
Conselho Administrativo de Defesa Econômica,2022,dotacao_atual,0.06
Conselho Administrativo de Defesa Econômica,2022,empenhado,0.06
Conselho Administrativo de Defesa Econômica,2022,liquidado,0.05
Conselho Administrativo de Defesa Econômica,2022,pago,0.05
Conselho Nacional de Justiça,2018,projeto_de_lei,0.22
Conselho Nacional de Justiça,2018,dotacao_inicial,0.22
Conselho Nacional de Justiça,2018,dotacao_atual,0.22
Conselho Nacional de Justiça,2018,empenhado,0.18
Conselho Nacional de Justiça,2018,liquidado,0.16
Conselho Nacional de Justiça,2018,pago,0.16
Conselho Nacional de Justiça,2019,projeto_de_lei,0.23
Conselho Nacional de Justiça,2019,dotacao_inicial,0.23
Conselho Nacional de Justiça,2019,dotacao_atual,0.23
Conselho Nacional de Justiça,2019,empenhado,0.21
Conselho Nacional de Justiça,2019,liquidado,0.2
Conselho Nacional de Justiça,2019,pago,0.19
Conselho Nacional de Justiça,2020,projeto_de_lei,0.21
Conselho Nacional de Justiça,2020,dotacao_inicial,0.2
Conselho Nacional de Justiça,2020,dotacao_atual,0.21
Conselho Nacional de Justiça,2020,empenhado,0.19
Conselho Nacional de Justiça,2020,liquidado,0.19
Conselho Nacional de Justiça,2020,pago,0.19
Conselho Nacional de Justiça,2021,projeto_de_lei,0.21
Conselho Nacional de Justiça,2021,dotacao_inicial,0.21
